Index,Timestamp,Chiller_ID,Label_Type,Status
432,2018-06-04 11:55:00 SGT,,,
433,2018-06-04 12:00:00 SGT,,,
434,2018-06-04 12:05:00 SGT,,,
435,2018-06-04 12:10:00 SGT,,,
436,2018-06-04 12:15:00 SGT,,,
437,2018-06-04 12:20:00 SGT,,,
438,2018-06-04 12:25:00 SGT,,,
439,2018-06-04 12:30:00 SGT,,,
440,2018-06-04 12:35:00 SGT,,,
441,2018-06-04 12:40:00 SGT,,,
442,2018-06-04 12:45:00 SGT,,,
443,2018-06-04 12:50:00 SGT,,,
444,2018-06-04 12:55:00 SGT,,,
445,2018-06-04 13:00:00 SGT,,,
446,2018-06-04 13:05:00 SGT,,,
447,2018-06-04 13:10:00 SGT,,,
448,2018-06-04 13:15:00 SGT,,,
449,2018-06-04 13:20:00 SGT,,,
450,2018-06-04 13:25:00 SGT,,,
451,2018-06-04 13:30:00 SGT,,,
452,2018-06-04 13:35:00 SGT,,,
453,2018-06-04 13:40:00 SGT,,,
454,2018-06-04 13:45:00 SGT,,,
455,2018-06-04 13:50:00 SGT,,,
456,2018-06-04 13:55:00 SGT,,,
457,2018-06-04 14:00:00 SGT,,,
458,2018-06-04 14:05:00 SGT,,,
459,2018-06-04 14:10:00 SGT,,,
460,2018-06-04 14:15:00 SGT,,,
461,2018-06-04 14:20:00 SGT,,,
462,2018-06-04 14:25:00 SGT,,,
463,2018-06-04 14:30:00 SGT,,,
464,2018-06-04 14:35:00 SGT,,,
465,2018-06-04 14:40:00 SGT,,,
466,2018-06-04 14:45:00 SGT,,,
467,2018-06-04 14:50:00 SGT,,,
468,2018-06-04 14:55:00 SGT,,,
469,2018-06-04 15:00:00 SGT,,,
470,2018-06-04 15:05:00 SGT,,,
471,2018-06-04 15:10:00 SGT,,,
472,2018-06-04 15:15:00 SGT,,,
473,2018-06-04 15:20:00 SGT,,,
474,2018-06-04 15:25:00 SGT,,,
475,2018-06-04 15:30:00 SGT,,,
476,2018-06-04 15:35:00 SGT,,,
477,2018-06-04 15:40:00 SGT,,,
478,2018-06-04 15:45:00 SGT,,,
479,2018-06-04 15:50:00 SGT,,,
480,2018-06-04 15:55:00 SGT,,,
481,2018-06-04 16:00:00 SGT,,,
482,2018-06-04 16:05:00 SGT,,,
483,2018-06-04 16:10:00 SGT,,,
484,2018-06-04 16:15:00 SGT,,,
485,2018-06-04 16:20:00 SGT,,,
486,2018-06-04 16:25:00 SGT,,,
487,2018-06-04 16:30:00 SGT,,,
488,2018-06-04 16:35:00 SGT,,,
489,2018-06-04 16:40:00 SGT,,,
490,2018-06-04 16:45:00 SGT,,,
491,2018-06-04 16:50:00 SGT,,,
492,2018-06-04 16:55:00 SGT,,,
493,2018-06-04 17:00:00 SGT,,,
494,2018-06-04 17:05:00 SGT,,,
495,2018-06-04 17:10:00 SGT,,,
496,2018-06-04 17:15:00 SGT,,,
497,2018-06-04 17:20:00 SGT,,,
498,2018-06-04 17:25:00 SGT,,,
499,2018-06-04 17:30:00 SGT,,,
500,2018-06-04 17:35:00 SGT,,,
501,2018-06-04 17:40:00 SGT,,,
502,2018-06-04 17:45:00 SGT,,,
503,2018-06-04 17:50:00 SGT,,,
504,2018-06-04 17:55:00 SGT,,,
505,2018-06-04 18:00:00 SGT,,,
506,2018-06-04 18:05:00 SGT,,,
507,2018-06-04 18:10:00 SGT,,,
508,2018-06-04 18:15:00 SGT,,,
509,2018-06-04 18:20:00 SGT,,,
510,2018-06-04 18:25:00 SGT,,,
511,2018-06-04 18:30:00 SGT,,,
512,2018-06-04 18:35:00 SGT,,,
513,2018-06-04 18:40:00 SGT,,,
514,2018-06-04 18:45:00 SGT,,,
515,2018-06-04 18:50:00 SGT,,,
516,2018-06-04 18:55:00 SGT,,,
